interaction_id,agent_id,query,retrieved_sources,retrieved_content,source_last_validated,current_schema_version,agent_schema_version,output_claims,source_classification,agent_access_level,lineage_documented,output_matches_source,policy_masking_required,policy_masking_applied
CUAD-00000,claude-3-haiku-20240307,"Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",ragbench.cuad,"Exhibit 10.13

                   SOFTWARE LICENSE AND MAINTENANCE AGREEMENT

                                     BETWEEN

                     GARMAN ROUTING SYSTEMS, INC. (""GARMAN"")

                                       AND

               SPARKLING SPRING WATER GROUP LIMITED (""SPARKLING"")

     WHEREAS Garman has developed and is entitled to license to others certain software and supporting materials which Sparkling wishes to license, the parties agree as follows:

1.   DEFINITIONS AND SCHEDULES

     In this Agreement the following definitions shall apply:

     (a)    Authorized Locations means the locations listed in Schedule ""C.""

     (b)    Confidential Information has the meaning specified in Section 14.

     (c)    Documentation means the documentation related to use of the Software described in Schedule ""B.""

     (d)    Maintenance Commencement Date means the date that acceptance testing is successfully completed at all of the Authorized Locations.

     (e)    Maintenance Services means the Software Update Service, Telephone Support Service and Software Repair Service described in Section 10.

     (f)    Modifications means the modifications set out in Schedule ""D.""

     (g)    Person includes an individual, corporation, partnership, joint venture, trust, unincorporated organization, the Crown or any agency or instrumentality thereof or any other judicial entity recognized by law.

     (h)    Software means the software described in Schedule ""B.""

     (i)    Specifications means the specifications set out in Schedule ""D.""

     (j)    Work means the Software and the Documentation collectively.

     The following is a summary of the Schedules, which shall form an integral part of this Agreement:

                                                                          PAGE 1

     Schedule ""A"":   Fee Schedule.

     Schedule ""B"":   Software and Documentation.

     Schedule ""C"":   Authorized Locations and Software copies for Authorized        ",2024-01-01 00:00:00,v1,v1,"Yes, based on the context provided in the software license and maintenance agreement:

Section 2 - Grant of License states that Sparkling's right to use the Software and Documentation at locations other than the Authorized Locations is subject to the payment of additional fees in accordance with the Fee Schedule.

This indicates that if Sparkling wants to use the licensed software and documentation at locations beyond the Authorized Locations listed in Schedule C, they would need to pay addition",CONFIDENTIAL,INTERNAL,True,0.6667,False,False
CUAD-00001,claude-3-haiku-20240307,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?",ragbench.cuad,"Exhibit 4.5

CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.

THIS AGREEMENT made effective the 10 day of January 2019 (the ""Effective Date""),

BETWEEN:

EMERALD HEALTH NATURALS, INC., a company having its registered and records office at 7860 Venture Street, Burnaby, BC V5A 1V3

(""Emerald"" or the ""Company"")

AND:

DR. GAETANO MORELLO N.D. INC., Businessperson, having an office at 2975 East 4th Avenue, Vancouver, B.C. V5M 1L1

(the ""Contractor"")

WITNESSES THAT WHEREAS Emerald would like to engage the Contractor as an independent contractor of Emerald, and the Contractor would like to be engaged by Emerald as an independent contractor, on the terms and conditions contained herein;

IN CONSIDERATION of the mutual agreements in this Agreement and subject to the terms and conditions specified in this Agreement, the parties agree as follows:

1. Definitions

1.1 In this Agreement, including the recitals and the schedules, the defined words and expressions have the meanings set out on Schedule ""A"" to this Agreement unless the context otherwise required.

2. Scope of Engagement

2.1 Position. The Company hereby engages the Contractor as an independent contractor and the Contractor hereby agrees to such engagement.

2.2 Services. The Company engages the Contractor to fulfill the services (the ""Services"") as described on Schedule ""B"" on the terms and conditions of this Agreement. The Services may be replaced, amended, superseded, or supplemented from time to time by agreement between the Company and the Contractor.

2.3 Reporting and Oversight Responsibility. The Contractor will report to and take instructions from Avtar Dhillon, President and Executive Chair.

2.4 Commitment of the Contractor. The Contractor will devote sufficient time and attention to the business and affairs of Emerald to provide the Services, use his or her best efforts to promote the interests of Emerald, and will carry out his or her Services honestly, in good faith and in the best interests of E",2024-01-01 00:00:00,v1,v1,"No, there is no clause in the Consulting Agreement that grants a right of first refusal, right of first offer, or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products, or services. The agreement does not contain any such provisions.",CONFIDENTIAL,INTERNAL,False,1.0,False,False
CUAD-00002,claude-3-haiku-20240307,"What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",ragbench.cuad,"Exhibit 10.1 CONSULTING AGREEMENT This CONSULTING AGREEMENT (""Agreement"") effective as of this 1st day of March 2020 is hereby entered into between Gunston Consulting, LLC (""CONSULTANT""), a Virginia limited liability company, and Medalist Diversified REIT, Inc. (""REIT"" or the ""Company""), a Maryland corporation, collectively the ""Parties."" NOW THEREFORE, in consideration of the mutual promises and other good and valuable consideration, the Parties hereby agree as follows: 1. Consulting Services. REIT hereby retains CONSULTANT and CONSULTANT hereby accepts appointment to serve as an independent contractor to the Company. During the term of this Agreement, CONSULTANT shall consult with REIT and provide the services outlined in the attached Statement of Work in a timely and professional manner in accordance with industry standards. CONSULTANT further agrees that it will not assign the responsibilities set forth in the attached Statement of Work to any other CONSULTANT, subcontactor or other individual without the express written agreement of the Company's Chief Executive Officer. 2. No Control by the Company. The Parties agree that CONSULTANT shall use its own judgment as to the time, place, details, and means by which CONSULTANT will accomplish the results of CONSULTANT's services under this Agreement, that CONSULTANT is not required to work set hours of the day or week established by the Company or perform specific services in a sequence determined by the Company, and that nothing contained herein shall be construed to create the relationship of employer and employee between the Company or CONSULTANT; provided, however, that CONSULTANT is expected to provide the services contemplated by this Agreement in a timely and competent manner in order to meet the needs and expectations of the Company. 3. Independent Contractor. The Parties expressly intend and agree that CONSULTANT is acting as an independent contractor and not as an employee of REIT. Under no circumstances sh",2024-01-01 00:00:00,v1,v1,"The consulting agreement does not contain any explicit warranty against defects or errors in technology, products, or services provided under the contract. The agreement focuses on the consulting services to be provided by the consultant, Gunston Consulting, LLC, and the terms of the consulting arrangement, including compensation, confidentiality, intellectual property, and restrictive covenants. There is no mention of any warranties related to the consultant's work product or deliverables.",CONFIDENTIAL,INTERNAL,True,1.0,False,False
CUAD-00003,claude-3-haiku-20240307,Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?,ragbench.cuad,"Exhibit 8.77 SERVICING AGREEMENT NATIONWIDE MUTUAL FUNDS Agreement, made as of this day of , 20 between Nationwide Fund Management LLC (""Nationwide""), on behalf of Nationwide Mutual Funds or its surviving entity (""the Trust""), and American United Life Insurance Company, and OneAmerica Securities, Inc., a registered Broker Dealer (collectively referred to as ""Servicing Agent,"" ""you"" or ""your""), whereby you agree to provide certain administrative support services to your customers who may from time to time be the record or beneficial owners of shares (such shares referred to herein as the ""Shares"") of the funds listed in Appendix A (each a ""Fund"") subject to the following terms and conditions: 1. Administrative Support Services You agree to provide administrative support services, directly or through an affiliate/designee, to your customers who may from time to time own of record or beneficially a Fund's Shares. Services provided may include, but are not limited to, some or all of the following: (i) processing dividend and distribution payments from the Fund on behalf of customers; (ii) providing periodic statements to your customers showing their positions in the Shares or share equivalents; (iii) arranging for bank wires; (iv) responding to routine customer inquiries relating to services performed by you; (v) providing sub-accounting or sub-transfer agency services with respect to the Shares beneficially owned by your customers or the information necessary for sub-accounting or sub-transfer agency services; (vi) if required by law, forwarding shareholder communications from the Fund (such as proxies, shareholder reports, annual and semi-annual financial statements and dividend, distribution and tax notices) to your customers; (vii) forwarding to customers proxy statements and proxies containing any proposals regarding this Agreement or the Administrative Services Plan related hereto; (viii) aggregating and processing purchase, exchange, and redemption requests from ",2024-01-01 00:00:00,v1,v1,"No, there does not appear to be any clause in the provided contract that discusses joint or shared ownership of intellectual property between the parties. The contract is focused on the administrative services and compensation provided by the Servicing Agent to the Nationwide Mutual Funds, and does not mention any provisions related to intellectual property ownership.",CONFIDENTIAL,INTERNAL,False,1.0,False,False
CUAD-00004,claude-3-haiku-20240307,Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ,ragbench.cuad,"Exhibit 10.2    INTELLECTUAL PROPERTY AGREEMENT        between        SONY ELECTRONICS INC.        and        GSI TECHNOLOGY, INC.        August 28, 2009





     TABLE OF CONTENTS

   i

    Page        1. Definitions 1            1.1 IP Agreement 2    1.2 Asset Purchase Agreement 2    1.3 Effective Date 2    1.4 Licensed Patent(s) 2    1.5 Transferred Patent(s) 3         2. Assignment 3         3. Licenses 3            3.1 Grant by SONY 3    3.2 Grant Back by PURCHASER 4    3.3 No Implied License or Other Assignment 4    3.4 No Sublicense Rights 4         4. Each Party's Sole Right to the Intellectual Property 4         5. Restrictions on Use of SONY Trademarks 5            5.1 No Trademark License 5    5.2 Removal of SONY Trademarks 5    5.3 Packaging 5    5.4 No Affiliation 6    5.5 JTAG / Mask Works 6         6. Payment 6         7. Term and Termination 7            7.1 Term 7    7.2 Termination 7    7.3 Insolvency 7    7.4 Continuing Obligations 8         8. Representations and Warranties 8            8.1 Power and Authority 8    8.2 Essential Patents 8    8.3 Ownership 8    8.4 Validity and Enforceability 8    8.5 Sufficiency 9    8.6 Non-infringement by the Business 9    8.7 Infringement by a Third Party 10    8.8 Intellectual Property Development 10





     TABLE OF CONTENTS  (continued)

   ii

    Page           8.9 Material Intellectual Property Agreements 11    8.10 Royalties 11    8.11 No Loss of Rights 12    8.12 Transferability 12    8.13 No SRAM Product Warranty Issues 12    8.14 Disclaimer 12         9. Miscellaneous 13            9.1 Notices 13    9.2 Expenses 14    9.3 Successors and Assigns 14    9.4 Waiver 15    9.5 Entire Agreement 15    9.6 Amendments and Supplements 15    9.7 Rights of Third Parties 15    9.8 Further Assurances 16    9.9 Applicable Law 16    9.10 Execution in Counterparts 16    9.11 Titles and Headings 16    9.12 Invalid Provisions 16    9.13 Transfer Taxes 17    9.14 Attorneys' Fees 17





     INTELLECTUAL PROPERTY AGR",2024-01-01 00:00:00,v1,v1,"Yes, there appears to be a restriction on SONY's ability to compete with PURCHASER (GSI Technology, Inc.). Specifically:

Section 3.2 states that the license grant back to SONY from PURCHASER is ""Subject to SONY's compliance with the covenant not to compete in Section 8.3 of Asset Purchase Agreement."" This indicates that there is a non-compete obligation on SONY contained in the Asset Purchase Agreement.

Without seeing the full Asset Purchase Agreement, the exact scope of the non-compete is not",CONFIDENTIAL,INTERNAL,True,1.0,False,False
CUAD-00005,claude-3-haiku-20240307,"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",ragbench.cuad,"ENDORSEMENT AGREEMENT    entered into by and between     ANDY NORTH     and     GOLFERS INCORPORATED

   Effective February 21, 2011



Source: PERFORMANCE SPORTS BRANDS, INC., S-1, 9/9/2011





   TABLE OF CONTENTS





Paragraph   Page            1.   Definitions   3  2.   Term   4  3.   Grant of License and Exclusivity   4  4.   Retention of Rights   4  5.   Appearances   4  6.   Compensation   5  7.   Supply of Endorsed Products   6  8.   Approval of Advertising   7  9.   Ownership   8  10.   SAG and/or AFTRA   8  11.   Standards   8  12.   Events of Default   8  13.   Termination/Remedies   9  14.   Company's Debts   9  15.   Indemnification   9  16.   Insurance   9  17.   Waiver   9  18.   Notices   10  19.   Assignment   10  20.   Independent Contractor   10  21.   Joint Venture   10  22.   Governing Law   10  23   Entire Agreement   10  24.   Amendments   10  25.   Authority   11  26.   Severability   11  27.   Compliance with Laws   11  28.   Attorney's Fees and Costs   11  29.   Force Majeure   11  30.   Confidentiality   11  31.   Counterparts   11

  Page 2 of 12

Source: PERFORMANCE SPORTS BRANDS, INC., S-1, 9/9/2011





   ENDORSEMENT AGREEMENT    THIS ENDORSEMENT AGREEMENT (herein the ""Agreement"") is effective on this 21s t day of February 2011, by and between Golfers  Incorporated, a Delaware Corporation, having a mailing address of 1021 N. Sepulveda Blvd., Suite G, Manhattan Beach, CA 90266 (hereinafter  referred to as ""Company"") and Andy North, having a mailing address of 1624 S. High Point Road, Madison, WI 53719 (hereinafter referred to as  ""North"").    WITNESSETH    WHEREAS, North is recognized and known throughout the world to be a highly skilled golfer and television commentator; and    WHEREAS, North's name and likeness (hereinafter defined) has commercial value with respect to the advertisement, promotion and sale  of products and services in the commercial marketplace; and    WHEREAS, Company is engaged in the business of developing, mark",2024-01-01 00:00:00,v1,v1,"Based on the information provided in the Endorsement Agreement:

No, the intellectual property created by one party (Andy North) does not become the property of the counterparty (Golfers Incorporated) either per the terms of the contract or upon the occurrence of certain events.

Specifically, the agreement states in Section 9 that ""All materials, in any form whatsoever, relating to the Advertising Materials will be and shall remain the absolute property of Company. North acknowledge that they d",CONFIDENTIAL,INTERNAL,True,1.0,False,False
CUAD-00006,claude-3-haiku-20240307,"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",ragbench.cuad,"EXHIBIT 10.26   ***Confidential treatment requested pursuant to a request for confidential treatment filed with the Securities and Exchange Commission. Omitted  portions have been filed separately with the Commission.     FLEET MAINTENANCE AGREEMENT

   1. Definitions     1.1 In this Agreement:     1.1.1 the following expressions have the following meanings unless inconsistent with the context:     ""the Act"" means the Employment Rights Act 1996.     ""Additional Charges"" means the charges to be calculated by SEV on a time and materials basis at the rates described in Clause 7  of this Agreement in respect of the provision of Excepted Services pursuant to Clause 6 of this Agreement.     ""Agreement"" means this agreement including the Schedules and the appendix made between SEV and DCL     ""Bodywork"" means, without limitation, the panels, doors, glazing, trim, seating and any custom built additions not supplied by  the original Vehicle manufacturer     ""CDV"" means an Engine powered car derived van included in this Agreement     ""Charger"" means the battery charger and related equipment of an EGV.     ""Chassis"" means the main frame, sub-frames and mounting brackets of the vehicle     ""Code of Practice"" means the HMSO code of practice set out in the appendix     ""Commencement Date"" means 16 October 2005.     ""Contracted Period"" means the period during which this Agreement is in effect.     ""Contract Procedure Manual"" means a separate operating manual that identifies procedures and documentation relevant to this  Agreement.     ""DCL Financial Year"" means the period of 12 (twelve) months commencing on the first day of each financial year of DCL during  the term of this Agreement as notified by DCL to SEV in writing or as otherwise agreed between the parties in writing (and, in the

            DATED         13 October 2005                   DCL

DAIRY CREST LIMITED (Company no 2085882) whose registered office is at Claygate House, Littleworth Road,  Esher, Surrey KT10 9PN   ",2024-01-01 00:00:00,v1,v1,"Based on the information provided in the contract, there does not appear to be an exclusive dealing commitment with the counterparty. The agreement is for SEV to provide maintenance services for Dairy Crest's vehicle fleet, but there is no indication that Dairy Crest is required to procure all of its maintenance services exclusively from SEV. The agreement also does not include any prohibitions on Dairy Crest working with other parties for maintenance services or other services. Overall, the agr",CONFIDENTIAL,INTERNAL,False,1.0,False,False
CUAD-00007,claude-3-haiku-20240307,Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ,ragbench.cuad,"MAINTENANCE AGREEMENT

        BETWEEN

        XIMAGE

          AND

SAGEM S.A., DEPARTEMENT MORPHO SYSTEMES

                                          Page 1

    TABLE OF CONTENTS

                                                 1.    Definitions...................................................................3

2.    Term of Agreement.............................................................4

3.    Software Maintenance Services.................................................4

4.    Performance of Services.......................................................4

5.    Customer Obligations and Warranties...........................................5

6.    Charges.......................................................................5

7.    Non disclosure................................................................5

8.    Response by XIMAGE............................................................6

9.    Intervention on site..........................................................6

10.   Return and Repair.............................................................7

11.   Injunctive Relief/Termination.................................................7

12.   Indemnification...............................................................7

13.   Termination...................................................................7

14.   Disclaimer of Warranty........................................................8

15.   Limitations of Liability......................................................8

16.   Arbitration...................................................................9

17.   Force Majeure.................................................................9

18.   Successors and Assigns........................................................9

19.   Amendments....................................................................9

20.   Entire Agreement and Waiver...................................................10

                         ",2024-01-01 00:00:00,v1,v1,"No, the contract does not contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor. The contract is solely between XIMAGE and SAGEM S.A., Departement MORPHO Systemes, and does not mention any affiliates or include any license grants related to intellectual property of affiliates.",CONFIDENTIAL,INTERNAL,True,1.0,False,False
CUAD-00008,claude-3-haiku-20240307,"This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",ragbench.cuad,"Exhibit 10.17

INTELLECTUAL PROPERTY AGREEMENT

between

THE BABCOCK & WILCOX COMPANY

and

BABCOCK & WILCOX ENTERPRISES, INC.

dated as of

June 26, 2015





TABLE OF CONTENTS   ARTICLE I   DEFINITIONS     1

  Section 1.1   Definitions     1

  Section 1.2   Interpretation     4

ARTICLE II   INTELLECTUAL PROPERTY ASSIGNMENT AND OWNERSHIP     5

  Section 2.1   Reserved     5

  Section 2.2   Reserved     5

  Section 2.3   Assistance by Employees; Inventor Compensation     5

  Section 2.4   Ownership     6

  Section 2.5   Rights Arising in the Future     6

  Section 2.6   Abandonment of Certain Intellectual Property     7

  Section 2.7   Reserved     7

  Section 2.8   Steam/Its Generation and Use     7

ARTICLE III   TRADEMARKS     8

  Section 3.1   House Marks     8

  Section 3.2   Limited License to Use SpinCo House Marks     9

  Section 3.3   Removal of Classes from SpinCo Marks    10

  Section 3.4   RemainCo Marks    10

  Section 3.5   Duty to Avoid Confusion    10

ARTICLE IV   SHARED LIBRARY MATERIALS    11

  Section 4.1   Shared Library Materials    11

  Section 4.2   Cross-License of Shared Library Materials    11

  Section 4.3   Maintenance of Shared Library Materials    11

  Section 4.4   Potential Allocation of Shared Library Materials    12

  Section 4.5   Confidentiality and Trade Secret Status of Shared Library Materials    13

  Section 4.6   Third Party Materials Contained in the Shared Library Materials    13

ARTICLE V   INTELLECTUAL PROPERTY LICENSES AND COVENANTS    13

  Section 5.1   Cross-License of Shared Know-How    13

  Section 5.2   Reserved    14

  Section 5.3   Reserved    14    i





  Section 5.4   Cross-Licenses of Software    14

  Section 5.5   Reserved    15

  Section 5.6   Sublicensing; Assignability    15

  Section 5.7   Restrictions on Licensor Exploitation of Intellectual Property    16

  Section 5.8   Third Party Agreements; Reservation of Rights    16

  Section 5.9   Maintenance of Intellectual Prope",2024-01-01 00:00:00,v1,v1,"Based on the context provided, this agreement does not appear to contain any explicit non-compete, exclusivity or no-solicit of customers provisions. 

The agreement outlines the ""SpinCo Core Field"" and ""RemainCo Core Field"", which define the respective fields in which SpinCo and RemainCo have exclusive rights to certain intellectual property and business activities. 

Specifically, the agreement grants:

- Exclusive licenses to SpinCo for certain intellectual property in the SpinCo Core Field, ",CONFIDENTIAL,INTERNAL,True,0.3,False,False
CUAD-00009,claude-3-haiku-20240307,Which state/country's law governs the interpretation of the contract?,ragbench.cuad,"EXHIBIT 10.1   RESELLER AGREEMENT   THIS RESELLER AGREEMENT (this ""Agreement"") is made and entered into effect the 7th day of April, 2017 (""Effective Date""), by and between i3 Integrative Creative Solutions, LLC (""i3 ICS""), a Virginia limited liability company, having its offices at 6564 Loisdale Court Suite 1010B, Springfield, VA 22150 (""Reseller"") and the company set forth below (""Company"") (each, individually, a ""party"" and collectively, ""parties""):   Company: Bravatek Solutions, Inc. (BVTK) Telephone: 1-866-490-8590

Address:2028 E. Ben White Blvd., Suite 240-2835 Fax: N/A

Austin, Texas 78741 E-mail: tom.cellucci@bravatek.com

Territory: US Federal Government Civilian and Military Agencies/Customers in the U.S. Agreement Term: 1 Year

Company Products: cybersecurity email software/telecom services Other Terms (not applicable if blank):

Pricing: Reseller will obtain pricing quote from Company for each opportunity. Contract is renewable for 1 year extension by amendment to this agreement. Either Party may terminate this agreement for non-cause with a sixty (60) written notice.   The parties agree as follows:   1. Definitions.   a. ""Company"" shall have the meaning assigned in the preamble.   b. ""Company Products"" shall have the meaning assigned in the preamble.   c. ""Effective Date"" shall have the meaning assigned in the preamble.   d. ""Marks"" shall have the meaning assigned in Section 7.   e. ""Net Revenue"" shall mean gross receipts collected by Company or Reseller from the distribution of Company Products, [less third party commissions, equipment sales, delivery costs, taxes, refunds, and credits.   f. ""Proprietary Information"" shall have the meaning assigned in Section 11.   g. ""Registered Referral"" shall mean a Named Account (i) for which ""Reseller"" identifies & creates the opportunity, provides Sales Assistance (as defined below), and (ii) which leads to a direct sale with the ""Company"". Registered Referrals may fall into two categories: Sales executed by the",2024-01-01 00:00:00,v1,v1,"According to the agreement, the contract is governed by and construed under the laws of the Commonwealth of Virginia, without regard to the conflicts of law provisions thereof.",CONFIDENTIAL,INTERNAL,True,1.0,False,False
