interaction_id,agent_id,query,retrieved_sources,retrieved_content,source_last_validated,current_schema_version,agent_schema_version,output_claims,source_classification,agent_access_level,lineage_documented,output_matches_source,policy_masking_required,policy_masking_applied
INT-0000,agent-01,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-05-28 02:21:50,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.84,True,True
INT-0001,agent-02,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-05-29 13:57:59,v4,v4,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,True,0.85,False,False
INT-0002,agent-03,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-07 01:38:01,v4,v2,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.73,True,True
INT-0003,agent-01,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-02 00:50:05,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.76,False,False
INT-0004,agent-02,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-04 21:13:12,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.72,False,False
INT-0005,agent-03,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-09 02:05:06,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.68,False,False
INT-0006,agent-01,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-05-27 06:08:56,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.7,False,False
INT-0007,agent-02,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-05-28 00:11:57,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.78,False,False
INT-0008,agent-03,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-09 11:44:50,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.71,False,False
INT-0009,agent-01,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-11 05:12:31,v4,v4,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,True,0.72,False,False
